d u	d I d
d i r Y d	d i r Y d ɨ d
d I s I n t æ N g ɨ l	d I s I n t æ N g ɨ l d
d I s h a r t ɨ n	d I s h a r t ɨ n d
d r ɔ l	d r ɔ l d
E d i	E d i d
I m e S i e t	I m e S i e t ɨ d
I m b ɔ s	I m b ɔ s t
I n f o l d	I n f o l d ɨ d
I n s k a n s	I n s k a n s t
f r i k	f r i k t
I n t R n ɨ l Y z	I n t R n ɨ l Y z d
l E v R	l E v R d
l a b	l a b d
m I s t r ʌ s t	m I s t r ʌ s t ɨ d
n æ v I g e t	n æ v I g e t ɨ d
o v R s t e t	o v R s t e t ɨ d
p e p R	p e p R d
p E d ɨ l	p E d ɨ l d
p j U r e	p j U r e d
k w e v R	k w e v R d
k w E n C	k w E n C t
k w E s t	k w E s t ɨ d
r i p r I n t	r i p r I n t ɨ d
r u f	r u f t
s k r W n J	s k r W n J d
s k ʌ d	s k ʌ d ɨ d
s i d	s i d ɨ d
S E p R d	S E p R d ɨ d
S U S	S U S t
s n Y p	s n Y p t
s p r E d i g ɨ l	s p r E d i g ɨ l d
ʌ n d R r Y t	ʌ n d R r o t
v W C s e f	v W C s e f t
C a m p	C a m p t
k a s I t	k a s I t ɨ d
k R t s i	k R t s i d
d I z I s t	d I z I s t ɨ d
d I s k l e m	d I s k l e m d
d I C	d I C t
d a k t R	d a k t R d
d u d ɨ l	d u d ɨ l d
d r E J	d r E J d
d u ɨ l	d u ɨ l d
I n u m ɨ r e t	I n u m ɨ r e t ɨ d
I k s t R n ɨ l Y z	I k s t R n ɨ l Y z d
f æ b r I k e t	f æ b r I k e t ɨ d
f l W t	f l W t ɨ d
f R D R	f R D R d
J R m ɨ n e t	J R m ɨ n e t ɨ d
g l ɔ s	g l ɔ s t
h ʌ m b ɨ l	h ʌ m b ɨ l d
I n v æ l I d e t	I n v æ l I d e t ɨ d
m æ n I k j U r	m æ n I k j U r d
m E S	m E S t
m ʌ l	m ʌ l d
o v R l e	o v R l e d
p Y n	p Y n d
p I v ɨ t	p I v ɨ t ɨ d
p l i t	p l i t ɨ d
r i b W n d	r i b W n d ɨ d
r I g r E s	r I g r E s t
r I l æ p s	r I l æ p s t
r Y f ɨ l	r Y f ɨ l d
r I v I t	r I v I t ɨ d
S r I l	S r I l d
s n I v ɨ l	s n I v ɨ l d
s a d	s a d ɨ d
s p e	s p e d
s t I l	s t I l d
s I N k r ɨ n Y z	s I N k r ɨ n Y z d
t ʌ f ɨ n	t ʌ f ɨ n d
t r æ n s f I g j R	t r æ n s f I g j R d
t r æ n s p o z	t r æ n s p o z d
t ʌ n ɨ l	t ʌ n ɨ l d
t w æ N	t w æ N d
ʌ n m æ s k	ʌ n m æ s k t
w i r i	w i r i d
w I g ɨ l	w I g ɨ l d
r i k	r i k t
æ b s E n t	æ b s E n t ɨ d
æ b s t r æ k t	æ b s t r æ k t ɨ d
ɨ k ʌ s t ɨ m	ɨ k ʌ s t ɨ m d
b æ n d i	b æ n d i d
b I g Y l	b I g Y l d
b I k R	b I k R d
b o t	b o t ɨ d
b o d	b o d ɨ d
b a C	b a C t
k æ n t	k æ n t ɨ d
k e p R	k e p R d
k l a k	k l a k t
k o a p t	k o a p t ɨ d
k a m ɨ n d i r	k a m ɨ n d i r d
k r o S e	k r o S e d
k r u s e d	k r u s e d ɨ d
d e n	d e n d
d i m o t	d i m o t ɨ d
d E s I k r e t	d E s I k r e t ɨ d
d I s l o k e t	d I s l o k e t ɨ d
d I s o r i ɨ n t	d I s o r i ɨ n t ɨ d
I n T r ɔ l	I n T r ɔ l d
I n v I Z ɨ n	I n v I Z ɨ n d
I g z a n ɨ r e t	I g z a n ɨ r e t ɨ d
f l ʌ d l Y t	f l ʌ d l Y t ɨ d
f o r S æ d o	f o r S æ d o d
h e r	h e r d
I n t R m I N g ɨ l	I n t R m I N g ɨ l d
W t f l æ N k	W t f l æ N k t
o v R r e t	o v R r e t ɨ d
p r i a k j U p Y	p r i a k j U p Y d
p r E S ɨ r Y z	p r E S ɨ r Y z d
p r I k ɨ l	p r I k ɨ l d
r E k ɨ n O t R	r E k ɨ n O t R d
r I k u p	r I k u p t
r I m	r I m d
s k i m	s k i m d
s k u l	s k u l d
s k u t	s k u t ɨ d
s k Y	s k Y d
s p l e	s p l e d
s k w E l C	s k w E l C t
s t æ S	s t æ S t
s ɨ b s u m	s ɨ b s u m d
t I l	t I l d
t a d ɨ l	t a d ɨ l d
t o n	t o n d
t o r p i d o	t o r p i d o d
ʌ n d R v æ l j u	ʌ n d R v æ l j u d
ʌ n f R l	ʌ n f R l d
ʌ n h U k	ʌ n h U k t
v E s t	v E s t ɨ d
w I n i	w I n i d
ɨ k l Y m ɨ t Y z	ɨ k l Y m ɨ t Y z d
e p	e p t
b l ʌ b R	b l ʌ b R d
k æ n t R	k æ n t R d
C ɔ k	C ɔ k t
k r a n I k ɨ l	k r a n I k ɨ l d
k l W n	k l W n d
d I k æ p I t e t	d I k æ p I t e t ɨ d
d E s I m e t	d E s I m e t ɨ d
I s t r e n J	I s t r e n J d
I g z ɔ l t	I g z ɔ l t ɨ d
g a r b ɨ l	g a r b ɨ l d
h æ z R d	h æ z R d ɨ d
h ʌ N g R	h ʌ N g R d
I m p R s ɨ n e t	I m p R s ɨ n e t ɨ d
I m p W n d	I m p W n d ɨ d
I n f r I n J	I n f r I n J d
m I s f Y R	m I s f Y R d
m o r t I f Y	m o r t I f Y d
ɔ s t r ɨ s Y z	ɔ s t r ɨ s Y z d
k w a S	k w a S t
r æ v I S	r æ v I S t
r i k I n d ɨ l	r i k I n d ɨ l d
r I p ʌ l s	r I p ʌ l s t
s l a g	s l a g d
s m E l t	s m E l t ɨ d
s o J R n	s o J R n d
s a d R	s a d R d
s p i r h E d	s p i r h E d ɨ d
s p r e n	s p r e n d
s t a k p Y l	s t a k p Y l d
s ʌ b l I m e t	s ʌ b l I m e t ɨ d
s ʌ p	s ʌ p t
ɨ t E n j u e t	ɨ t E n j u e t ɨ d
b I C	b I C t
b l Y n d f o l d	b l Y n d f o l d ɨ d
b a t ɨ l f i d	b a t ɨ l f E d
b r Y d ɨ l	b r Y d ɨ l d
b ʌ N g ɨ l	b ʌ N g ɨ l d
b R n I S	b R n I S t
b ʌ s	b ʌ s t
d I p o z	d I p o z d
d I s E n t	d I s E n t ɨ d
d I z i	d I z i d
I m b a m	I m b a m d
I k s t r u d	I k s t r u d ɨ d
f e r I t	f e r I t ɨ d
f Y n ɨ l Y z	f Y n ɨ l Y z d
f l E k	f l E k t
f r E S ɨ n	f r E S ɨ n d
g r a v ɨ l	g r a v ɨ l d
Y d ɨ l Y z	Y d ɨ l Y z d
I n t R p o z	I n t R p o z d
R k	R k t
J I g ɨ l	J I g ɨ l d
m ɔ l t	m ɔ l t ɨ d
m ʌ g	m ʌ g d
n æ p	n æ p t
W t r ʌ n	W t r æ n
p ɔ l	p ɔ l d
p æ l p I t e t	p æ l p I t e t ɨ d
p æ t ɨ n t	p æ t ɨ n t ɨ d
p i k	p i k t
p R k ɨ l e t	p R k ɨ l e t ɨ d
p r i d I s p o z	p r i d I s p o z d
p ʌ l v ɨ r Y z	p ʌ l v ɨ r Y z d
r I f r I J ɨ r e t	r I f r I J ɨ r e t ɨ d
r E z ɨ n e t	r E z ɨ n e t ɨ d
r I k ɨ S e	r I k ɨ S e d
r Y t	r Y t ɨ d
r a m p	r a m p t
s k r Y b	s k r Y b d
s k ʌ l p t	s k ʌ l p t ɨ d
S u	S u d
S o r	S o r d
s I l v R	s I l v R d
s p æ N g ɨ l	s p æ N g ɨ l d
s w æ g R	s w æ g R d
s w I g	s w I g d
t I t R	t I t R d
t r ʌ s	t r ʌ s t
ʌ p s t e J	ʌ p s t e J d
w E t	w E t ɨ d
r ɔ N	r ɔ N d
j E l p	j E l p t
ɨ n E s T ɨ t Y z	ɨ n E s T ɨ t Y z d
æ n t æ g ɨ n Y z	æ n t æ g ɨ n Y z d
b I g r ʌ J	b I g r ʌ J d
b u z	b u z d
b r a n z	b r a n z d
k o r ɨ s	k o r ɨ s t
k l O s t R	k l O s t R d
k a n s ɨ m e t	k a n s ɨ m e t ɨ d
d i k ɨ m p o z	d i k ɨ m p o z d
d I m p ɨ l	d I m p ɨ l d
d I s e b ɨ l	d I s e b ɨ l d
d I s g o r J	d I s g o r J d
d I s I n h e r I t	d I s I n h e r I t ɨ d
d r W z	d r W z d
I l u s I d e t	I l u s I d e t ɨ d
I m b o l d ɨ n	I m b o l d ɨ n d
f ɔ n	f ɔ n d
f I k s e t	f I k s e t ɨ d
h æ n d k ʌ f	h æ n d k ʌ f t
h a m a J ɨ n Y z	h a m a J ɨ n Y z d
I l t r i t	I l t r i t ɨ d
I m b Y b	I m b Y b d
I n t R s i d	I n t R s i d ɨ d
J I g	J I g d
l æ k R	l æ k R d
l a D R	l a D R d
m I s k ɨ n s i v	m I s k ɨ n s i v d
n a n p l ʌ s	n a n p l ʌ s t
ɨ f I S i e t	ɨ f I S i e t ɨ d
o r n ɨ m E n t	o r n ɨ m E n t ɨ d
o r f ɨ n	o r f ɨ n d
p e r i	p e r i d
p a r t I S ɨ n	p a r t I S ɨ n d
p I k n I k	p I k n I k t
p l e n	p l e n d
p r i ɨ r e n J	p r i ɨ r e n J d
p R l O n	p R l O n d
r æ s p	r æ s p t
r i l o d	r i l o d ɨ d
r I s I n d	r I s I n d ɨ d
r i s E t ɨ l	r i s E t ɨ l d
r i t e l	r i t e l d
r I f ɨ l	r I f ɨ l d
r ʌ t	r ʌ t ɨ d
s æ N k t I f Y	s æ N k t I f Y d
s k ʌ l p C R	s k ʌ l p C R d
S u	S u d
s Y d t r æ k	s Y d t r æ k t
s p a r	s p a r d
s t E n s ɨ l	s t E n s ɨ l d
s t r i m l Y n	s t r i m l Y n d
t a r	t a r d
t w i k	t w i k t
ʌ n d R s k o r	ʌ n d R s k o r d
R b ɨ n Y z	R b ɨ n Y z d
v æ k j u m	v æ k j u m d
w a l ɨ p	w a l ɨ p t
r i D	r i D d
ɨ b d ʌ k t	ɨ b d ʌ k t ɨ d
b I t o k ɨ n	b I t o k ɨ n d
k æ p t I n	k æ p t I n d
k ɨ k u n	k ɨ k u n d
k a d I f Y	k a d I f Y d
d æ m	d æ m d
d I g n I f Y	d I g n I f Y d
d I s I m b a r k	d I s I m b a r k t
d o p	d o p t
I n T u z	I n T u z d
I v I n s	I v I n s t
I k s k r i t	I k s k r i t ɨ d
f r a l I k	f r a l I k t
f ʌ n ɨ l	f ʌ n ɨ l d
g a g ɨ l	g a g ɨ l d
g o r	g o r d
g r e s	g r e s t
g ʌ f ɔ	g ʌ f ɔ d
h a r m ɨ n Y z	h a r m ɨ n Y z d
I n k ʌ l k e t	I n k ʌ l k e t ɨ d
m E t ɨ m o r f o z	m E t ɨ m o r f o z d
m I s d i r E k t	m I s d i r E k t ɨ d
W t	W t ɨ d
o v R r I k s p o z	o v R r I k s p o z d
o v R S u t	o v R S a t
p e l	p e l d
p a r t n R	p a r t n R d
p ɨ l I t I s Y z	p ɨ l I t I s Y z d
p ʌ l p	p ʌ l p t
r æ m p e J	r æ m p e J d
r I b ʌ f	r I b ʌ f t
r I k u p ɨ r e t	r I k u p ɨ r e t ɨ d
r e n	r e n d
r I p r i v	r I p r i v d
r I v Y l	r I v Y l d
r Y m	r Y m d
s æ v I J	s æ v I J d
S ʌ t ɨ l	S ʌ t ɨ l d
s Y d s t E p	s Y d s t E p t
s k I m p	s k I m p t
s l u	s l u d
s n e r	s n e r d
s o l J R	s o l J R d
s ʌ b J ɨ g e t	s ʌ b J ɨ g e t ɨ d
s ʌ n	s ʌ n d
t E l I g r æ f	t E l I g r æ f t
t E n ɨ n t	t E n ɨ n t ɨ d
t u t	t u t ɨ d
ʌ n d R s t e t	ʌ n d R s t e t ɨ d
ɨ m i l j ɨ r e t	ɨ m i l j ɨ r e t ɨ d
æ t r ɨ f i	æ t r ɨ f i d
ɔ d I S ɨ n	ɔ d I S ɨ n d
b ɨ l u n	b ɨ l u n d
b I h E d	b I h E d ɨ d
b l ʌ d	b l ʌ d ɨ d
b r U k	b r U k t
k æ p s Y z	k æ p s Y z d
k ɨ r i n	k ɨ r i n d
C R p	C R p t
C I z ɨ l	C I z ɨ l d
k a d ɨ l	k a d ɨ l d
k r I m p	k r I m p t
d æ p ɨ l	d æ p ɨ l d
d I f e s	d I f e s t
d E f ɨ k e t	d E f ɨ k e t ɨ d
d I s I m b W ɨ l	d I s I m b W ɨ l d
d ʌ b ɨ l k r ɔ s	d ʌ b ɨ l k r ɔ s t
I n k ʌ m b R	I n k ʌ m b R d
I n o b ɨ l	I n o b ɨ l d
I n ʌ n s i e t	I n ʌ n s i e t ɨ d
f ɨ m I l j ɨ r Y z	f ɨ m I l j ɨ r Y z d
f l ʌ f	f l ʌ f t
n æ S	n æ S t
g r u v	g r u v d
h ɨ l u s I n e t	h ɨ l u s I n e t ɨ d
h j u	h j u d
h I k ʌ p	h I k ʌ p t
I n d a k t r I n e t	I n d a k t r I n e t ɨ d
l æ n s	l æ n s t
l i e z	l i e z d
m æ n h æ n d ɨ l	m æ n h æ n d ɨ l d
m j u	m j u d
m u C	m u C t
m u t	m u t ɨ d
a b v i e t	a b v i e t ɨ d
W t l æ s t	W t l æ s t ɨ d
p e r ɨ d i	p e r ɨ d i d
p i l	p i l d
p I l I J	p I l I J d
p r i I g z I s t	p r i I g z I s t ɨ d
k w I b ɨ l	k w I b ɨ l d
k w Y ɨ t	k w Y ɨ t ɨ d
r æ N k ɨ l	r æ N k ɨ l d
r i ɨ J ʌ s t	r i ɨ J ʌ s t ɨ d
r i C a r J	r i C a r J d
r i I m b R s	r i I m b R s t
r I J	r I J d
r o m æ n t I s Y z	r o m æ n t I s Y z d
s k W t	s k W t ɨ d
S R k	S R k t
s I v	s I v d
s I n J	s I n J d
s l a b R	s l a b R d
s o p	s o p t
s p ʌ t R	s p ʌ t R d
s t æ m p i d	s t æ m p i d ɨ d
t æ l i	t æ l i d
t I t I l e t	t I t I l e t ɨ d
t r æ f I k	t r æ f I k t
t r æ n s g r E s	t r æ n s g r E s t
ɨ r e	ɨ r e d
b e r I k e d	b e r I k e d ɨ d
b r æ k I t	b r æ k I t ɨ d
b r e	b r e d
b ʌ d	b ʌ d ɨ d
b R g ɨ l	b R g ɨ l d
s R k ɨ m v E n t	s R k ɨ m v E n t ɨ d
k ɨ l e t	k ɨ l e t ɨ d
k a p	k a p t
k o r d	k o r d ɨ d
d I k l e m	d I k l e m d
d I n u d	d I n u d ɨ d
d Y g r E s	d Y g r E s t
d I s d e n	d I s d e n d
d I s E m b ɨ l	d I s E m b ɨ l d
d a f	d a f t
d W n g r e d	d W n g r e d ɨ d
I l o p	I l o p t
I k s p a s C U l e t	I k s p a s C U l e t ɨ d
E k s p r o p r i e t	E k s p r o p r i e t ɨ d
I k s t r æ p ɨ l e t	I k s t r æ p ɨ l e t ɨ d
I g z ʌ l t	I g z ʌ l t ɨ d
f a D R	f a D R d
f I z	f I z d
f l ʌ N k	f l ʌ N k t
f ʌ J	f ʌ J d
f R	f R d
g a r n R	g a r n R d
h E d l Y n	h E d l Y n d
h Y b R n e t	h Y b R n e t ɨ d
h Y J æ k	h Y J æ k t
I m p e r ɨ l	I m p e r ɨ l d
I n a k j U l e t	I n a k j U l e t ɨ d
I n t R w i v	I n t R w o v
l æ s ɨ r e t	l æ s ɨ r e t ɨ d
m ʌ d i	m ʌ d i d
o v R C a r J	o v R C a r J d
p Y l ɨ t	p Y l ɨ t ɨ d
p a s C R	p a s C R d
p r E f I s	p r E f I s t
p r E s I J	p r E s I J d
r u m	r u m d
S i D	S i D d
s w a t	s w a t ɨ d
t w Y n	t w Y n d
v E n d	v E n d ɨ d
w I n o	w I n o d
z æ p	z æ p t
z I g z æ g	z I g z æ g d
ɨ s E n t	ɨ s E n t ɨ d
ɨ t Y R	ɨ t Y R d
ɔ d I t	ɔ d I t ɨ d
ɔ T E n t I k e t	ɔ T E n t I k e t ɨ d
b i C	b i C t
b Y s E k t	b Y s E k t ɨ d
b l ʌ s t R	b l ʌ s t R d
b a g ɨ l	b a g ɨ l d
b a k s	b a k s t
b ʌ m	b ʌ m d
k æ p t I v e t	k æ p t I v e t ɨ d
k ɨ r i r	k ɨ r i r d
k æ s t I g e t	k æ s t I g e t ɨ d
s i d	s i d ɨ d
C i p ɨ n	C i p ɨ n d
k l o k	k l o k t
k l a z I t	k l a z I t ɨ d
k o l	k o l d
k o r s ɨ n	k o r s ɨ n d
k W n t R v e l	k W n t R v e l d
d I k æ n t	d I k æ n t ɨ d
d i f r ɔ s t	d i f r ɔ s t ɨ d
d I m a k r ɨ t Y z	d I m a k r ɨ t Y z d
d E p r I k e t	d E p r I k e t ɨ d
d E s I k e t	d E s I k e t ɨ d
d Y s	d Y s t
d I s I n C æ n t	d I s I n C æ n t ɨ d
d o s	d o s t
d ʌ m f W n d	d ʌ m f W n d ɨ d
E n k o d	E n k o d ɨ d
E s e	E s e d
E k s Y z	E k s Y z d
f a r t	f a r t ɨ d
f E t R	f E t R d
f o r s f i d	f o r s f E d
g r æ v ɨ l	g r æ v ɨ l d
h a g	h a g d
h U d w I N k	h U d w I N k t
I m o r t ɨ l Y z	I m o r t ɨ l Y z d
I n k a r s R e t	I n k a r s R e t ɨ d
I n g r e S i e t	I n g r e S i e t ɨ d
J æ b R	J æ b R d
k i	k i d
n Y t	n Y t ɨ d
l ɔ d	l ɔ d ɨ d
ɔ s I f Y	ɔ s I f Y d
o v R p e	o v R p e d
o v R s t E p	o v R s t E p t
p l ʌ m	p l ʌ m d
p o l	p o l d
p r a m ɨ l g e t	p r a m ɨ l g e t ɨ d
p r a s p E k t	p r a s p E k t ɨ d
r e d i o	r e d i o d
r i f o r m	r i f o r m d
r E J I m E n t	r E J I m E n t ɨ d
r o b	r o b d
r ʌ f ɨ n	r ʌ f ɨ n d
s æ t R Y z	s æ t R Y z d
s E n t I m E n t ɨ l Y z	s E n t I m E n t ɨ l Y z d
s l R p	s l R p t
s n I k R	s n I k R d
s p u k	s p u k t
s t ʌ m ɨ k	s t ʌ m ɨ k t
s t r æ t I f Y	s t r æ t I f Y d
s ʌ b	s ʌ b d
t r æ n z æ k t	t r æ n z æ k t ɨ d
ʌ n b æ l ɨ n s	ʌ n b æ l ɨ n s t
v e k e S ɨ n	v e k e S ɨ n d
ɨ b æ S	ɨ b æ S t
ɨ b r I J	ɨ b r I J d
ɨ J ʌ J	ɨ J ʌ J d
e r e t	e r e t ɨ d
æ n o t e t	æ n o t e t ɨ d
ɨ p r E n t I s	ɨ p r E n t I s t
ɨ t o n	ɨ t o n d
b æ N k r ʌ p t	b æ N k r ʌ p t ɨ d
b I l e	b I l e d
b I m o n	b I m o n d
b r O l	b r O l d
b R b ɨ l	b R b ɨ l d
C æ s t Y z	C æ s t Y z d
k l Y m æ k s	k l Y m æ k s t
k l W t	k l W t ɨ d
k ɨ m R S ɨ l Y z	k ɨ m R S ɨ l Y z d
k ɨ n Y v	k ɨ n Y v d
k r i m e t	k r i m e t ɨ d
d I f ɔ l t	d I f ɔ l t ɨ d
d R t i	d R t i d
d I s b R s	d I s b R s t
d I s a n R	d I s a n R d
d I s I n f E k t	d I s I n f E k t ɨ d
d I s p o r t	d I s p o r t ɨ d
d I s t ɨ n s	d I s t ɨ n s t
E g z I t	E g z I t ɨ d
f l æ b R g æ s t	f l æ b R g æ s t ɨ d
f l o r	f l o r d
f l W n s	f l W n s t
f o r d	f o r d ɨ d
f R l	f R l d
g r æ n j U l e t	g r æ n j U l e t ɨ d
g r ʌ J	g r ʌ J d
h æ m s t r I N	h æ m s t r ʌ N
h a r t ɨ n	h a r t ɨ n d
h I C h Y k	h I C h Y k t
h Y v	h Y v d
h o n	h o n d
I n d E k s	I n d E k s t
I n t u I t	I n t u I t ɨ d
J a k i	J a k i d
m I m i ɨ g r æ f	m I m i ɨ g r æ f t
m I s b I h e v	m I s b I h e v d
m I s t	m I s t ɨ d
m a t ɨ l	m a t ɨ l d
n a C	n a C t
a b l I g e t	a b l I g e t ɨ d
p R f ɨ r e t	p R f ɨ r e t ɨ d
p I N	p I N d
p l ʌ m I t	p l ʌ m I t ɨ d
p a t	p a t ɨ d
p r ɨ p o r S ɨ n	p r ɨ p o r S ɨ n d
p r ɔ s ɨ l I t Y z	p r ɔ s ɨ l I t Y z d
k w I p	k w I p t
r i l o k e t	r i l o k e t ɨ d
r i j u z	r i j u z d
r i v æ l j u	r i v æ l j u d
r u m I n e t	r u m I n e t ɨ d
s e t	s e t ɨ d
s Y D	s Y D d
s E k ɨ n d	s E k ɨ n d ɨ d
s E n s I t Y z	s E n s I t Y z d
S I p r E k	S I p r E k t
s l I m	s l I m d
s n æ g	s n æ g d
s n o b ɔ l	s n o b ɔ l d
s a r o	s a r o d
s p i r I t	s p i r I t ɨ d
s t r e f	s t r e f t
s t r ʌ m	s t r ʌ m d
s ʌ l i	s ʌ l i d
s w I n d ɨ l	s w I n d ɨ l d
t E n d R	t E n d R d
t r W n s	t r W n s t
t r ʌ N k e t	t r ʌ N k e t ɨ d
j u n j ɨ n Y z	j u n j ɨ n Y z d
ʌ n t æ N g ɨ l	ʌ n t æ N g ɨ l d
v R b ɨ l Y z	v R b ɨ l Y z d
w æ N g ɨ l	w æ N g ɨ l d
w I n t R	w I n t R d
j æ p	j æ p t
æ d ɨ l	æ d ɨ l d
ɨ p E n d	ɨ p E n d ɨ d
ɨ p r Y z	ɨ p r Y z d
b I f ʌ d ɨ l	b I f ʌ d ɨ l d
b E l	b E l d
b l a k e d	b l a k e d ɨ d
b l ʌ J ɨ n	b l ʌ J ɨ n d
b r u t ɨ l Y z	b r u t ɨ l Y z d
C i k	C i k t
k l æ k	k l æ k t
k r e t	k r e t ɨ d
k r U k	k r U k t
d ɔ b	d ɔ b d
d I p r i S i e t	d I p r i S i e t ɨ d
d I s ɨ s o s i e t	d I s ɨ s o s i e t ɨ d
d I s p ɨ z E s	d I s p ɨ z E s t
d ʌ N k	d ʌ N k t
d Y n ɨ m Y t	d Y n ɨ m Y t ɨ d
E l b o	E l b o d
I l E k t r ɨ k j u t	I l E k t r ɨ k j u t ɨ d
I n t r E n C	I n t r E n C t
E g z u m	E g z u m d
f e n t	f e n t ɨ d
f I l C	f I l C t
f I N g R p r I n t	f I N g R p r I n t ɨ d
f o r b e r	f o r b o r
g ɔ l	g ɔ l d
g æ S	g æ S t
g o s t	g o s t ɨ d
g ʌ t R	g ʌ t R d
h o s t	h o s t ɨ d
h ʌ f	h ʌ f t
h ʌ z b ɨ n d	h ʌ z b ɨ n d ɨ d
I n s I n ɨ r e t	I n s I n ɨ r e t ɨ d
I n J E s t	I n J E s t ɨ d
m e r I n e t	m e r I n e t ɨ d
m æ s t R m Y n d	m æ s t R m Y n d ɨ d
m o l d R	m o l d R d
m o l t	m o l t ɨ d
o p Y n	o p Y n d
p R J R	p R J R d
p r o s k r Y b	p r o s k r Y b d
r e z	r e z d
r I k æ n t	r I k æ n t ɨ d
r i d E k ɨ r e t	r i d E k ɨ r e t ɨ d
r I m I t	r I m I t ɨ d
r i p e t r i e t	r i p e t r i e t ɨ d
r ʌ b R s t æ m p	r ʌ b R s t æ m p t
s e S i e t	s e S i e t ɨ d
s k r ʌ n C	s k r ʌ n C t
s I s i d	s I s i d ɨ d
s n u z	s n u z d
s n ʌ f ɨ l	s n ʌ f ɨ l d
s t ɔ n C	s t ɔ n C t
s t o n w ɔ l	s t o n w ɔ l d
s ɨ p i n ɨ	s ɨ p i n ɨ d
S U g R	S U g R d
s w a d ɨ l	s w a d ɨ l d
s I s t I m ɨ t Y z	s I s t I m ɨ t Y z d
t E l E k s	t E l E k s t
t r I l	t r I l d
ʌ n b Y n d	ʌ n b W n d
ʌ n l R n	ʌ n l R n d
v e p ɨ r Y z	v e p ɨ r Y z d
v E n ɨ r e t	v E n ɨ r e t ɨ d
w E d	w E d ɨ d
ɨ J u d I k e t	ɨ J u d I k e t ɨ d
ɨ p o r S ɨ n	ɨ p o r S ɨ n d
e r ɨ g e t	e r ɨ g e t ɨ d
b æ k t r æ k	b æ k t r æ k t
b Y d	b Y d ɨ d
k æ v	k æ v d
k a r p	k a r p t
k ɔ	k ɔ d
C æ f	C æ f t
k ɨ m j u n	k ɨ m j u n d
k a m p a r t m E n t ɨ l Y z	k a m p a r t m E n t ɨ l Y z d
k W n t ɨ r ɨ t æ k	k W n t ɨ r ɨ t æ k t
k r ɔ s I g z æ m I n	k r ɔ s I g z æ m I n d
d E s ɨ l e t	d E s ɨ l e t ɨ d
I f e s	I f e s t
I n f i b ɨ l	I n f i b ɨ l d
f o r k l o z	f o r k l o z d
h o z	h o z d
J O n t	J O n t ɨ d
l I b R ɨ l Y z	l I b R ɨ l Y z d
m ɨ S i n	m ɨ S i n d
m æ l t r i t	m æ l t r i t ɨ d
m I s k e r i	m I s k e r i d
m u	m u d
m j u t e t	m j u t e t ɨ d
n e r e t	n e r e t ɨ d
n I g ɨ l	n I g ɨ l d
ɨ b t r u d	ɨ b t r u d ɨ d
p e r ɨ f r e z	p e r ɨ f r e z d
p r a p ɨ z I S ɨ n	p r a p ɨ z I S ɨ n d
p r ɔ s t I t u t	p r ɔ s t I t u t ɨ d
k w I z	k w I z d
r i a r m	r i a r m d
r i f I t	r i f I t ɨ d
r i f l e t	r i f l e t ɨ d
r i s R f I s	r i s R f I s t
r i t E l	r i t o l d
r i v æ m p	r i v æ m p t
r i v I v I f Y	r i v I v I f Y d
s k a C	s k a C t
s k R J	s k R J d
s k R m I S	s k R m I S t
s n u p	s n u p t
s a k	s a k t
s t r æ n d	s t r æ n d ɨ d
s w Y p	s w Y p t
t r e p s	t r e p s t
t r æ N k w I l Y z	t r æ N k w I l Y z d
v æ n d ɨ l Y z	v æ n d ɨ l Y z d
æ b r ɨ g e t	æ b r ɨ g e t ɨ d
ɨ J u r	ɨ J u r d
æ g r I g e t	æ g r I g e t ɨ d
æ N g l I s Y z	æ N g l I s Y z d
ɨ n ʌ l	ɨ n ʌ l d
ɨ v W	ɨ v W d
b l o t	b l o t ɨ d
b a p	b a p t
b O	b O d
b R p	b R p t
S æ p ɨ r o n	S æ p ɨ r o n d
k r æ f t	k r æ f t ɨ d
k r æ p	k r æ p t
d i k a l ɨ n Y z	d i k a l ɨ n Y z d
d I s ɨ l W	d I s ɨ l W d
d I s o r i ɨ n t e t	d I s o r i ɨ n t e t ɨ d
d r æ t	d r æ t ɨ d
E d I f Y	E d I f Y d
E n R v e t	E n R v e t ɨ d
I n t r i t	I n t r i t ɨ d
I k w I v ɨ k e t	I k w I v ɨ k e t ɨ d
f R m	f R m d
f o r S o r t ɨ n	f o r S o r t ɨ n d
J E n j u f l E k t	J E n j u f l E k t ɨ d
g u f	g u f t
g r Y p	g r Y p t
J Y r e t	J Y r e t ɨ d
h o m	h o m d
I m j U n Y z	I m j U n Y z d
I m p æ k t	I m p æ k t ɨ d
I n t R n æ S ɨ n ɨ l Y z	I n t R n æ S ɨ n ɨ l Y z d
J a g ɨ l	J a g ɨ l d
k e o	k e o d
l æ m p u n	l æ m p u n d
l Y m	l Y m d
m æ l f ʌ N k S ɨ n	m æ l f ʌ N k S ɨ n d
m I n t	m I n t ɨ d
m ʌ s	m ʌ s t
m ʌ z ɨ l	m ʌ z ɨ l d
o v R m æ n	o v R m æ n d
p R k	p R k t
p ɨ r u z	p ɨ r u z d
f o t o k a p i	f o t o k a p i d
p l e æ k t	p l e æ k t ɨ d
p ʌ m ɨ l	p ʌ m ɨ l d
p o r t E n d	p o r t E n d ɨ d
r e l	r e l d
r E d i	r E d i d
r i d u	r i d I d
r E p l I k e t	r E p l I k e t ɨ d
r i s t a k	r i s t a k t
r i t ʌ C	r i t ʌ C t
